Phase,Week,Workstream,Module,Task,Priority,EffortHours,OwnerRole,Dependencies,DefinitionOfDone,TargetStart,TargetEnd,Status,Milestone,CommercialImpact
Phase 0,1,Platform Stability,Backend Runtime,Fix backend start:dev and standardize env/start scripts,P0,10,Fullstack Dev,Current backend config,Backend runs on port 3000 reliably for 3 consecutive restarts,2026-02-24,2026-03-02,Planned,M0 Runtime stable,Required for demos and onboarding
Phase 0,1,Platform Stability,Observability,Add startup health checks and error logging baseline,P0,4,Backend Dev,Backend runtime stable,/health and structured startup errors available,2026-02-24,2026-03-02,Planned,M0 Runtime stable,Reduces support risk during pilots
Phase 0,1,Core Finance QA,Deposits/Withdrawals,Complete smoke suite for all payment types and reversals,P0,8,QA + Fullstack,Latest deposits fixes,20/20 high-value tests pass,2026-02-24,2026-03-02,Planned,M1 Cashflow hardened,Protects accounting trust
Phase 1,2,Security & Access,Users & Roles,Implement user profiles and role CRUD,P0,12,Fullstack Dev,Runtime stable,Admin can create/edit/disable users and assign roles,2026-03-03,2026-03-09,Planned,M2 Access foundation,Needed for multi-SACCO sale readiness
Phase 1,2,Security & Access,Permissions,Implement permission matrix per module/action,P0,12,Backend Dev,Users & Roles,Unauthorized actions blocked server-side and hidden client-side,2026-03-03,2026-03-09,Planned,M2 Access foundation,Enterprise requirement
Phase 1,3,Approvals,Maker-Checker,Add configurable approvals for high-risk actions,P0,14,Fullstack Dev,Permissions,Pending/approved/rejected workflow with audit trail,2026-03-10,2026-03-16,Planned,M3 Governance controls,Compliance + controls
Phase 1,3,Audit,Audit Trail,Immutable audit entries for settings and financial actions,P0,8,Backend Dev,Maker-Checker,"All critical actions include actor, before/after, timestamp",2026-03-10,2026-03-16,Planned,M3 Governance controls,Critical in due diligence
Phase 2,4,Assets Lifecycle,Asset Purchases,Create asset purchase posting flow with capitalization,P1,12,Fullstack Dev,Permissions + audit,Purchase posts correctly to asset and cash/bank accounts,2026-03-17,2026-03-23,Planned,M4 Asset purchases live,Expands product scope
Phase 2,4,Assets Lifecycle,Depreciation,Automate depreciation schedules and monthly posting,P1,10,Backend Dev,Asset purchases,Depreciation run generates expected journal entries,2026-03-17,2026-03-23,Planned,M4 Asset purchases live,Improves reporting quality
Phase 2,5,Assets Lifecycle,Asset Disposal/Sale,Implement sale/disposal with gain/loss accounting,P1,12,Fullstack Dev,Asset purchases + depreciation,Disposal updates register and posts gain/loss,2026-03-24,2026-03-30,Planned,M5 Asset lifecycle complete,Strong differentiator for SACCOs
Phase 2,5,Configuration,Settings Governance,Settings versioning + change approvals + effective dates,P1,8,Backend Dev,Audit trail,Settings changes tracked and reversible,2026-03-24,2026-03-30,Planned,M5 Asset lifecycle complete,Safer operations
Phase 3,6,Multi-SACCO,Tenant Isolation,Harden data isolation and tenancy boundaries,P0,14,Backend Dev,User access model,No cross-tenant reads/writes in critical endpoints,2026-03-31,2026-04-06,Planned,M6 Multi-SACCO hardening,Mandatory for commercialization
Phase 3,6,Multi-SACCO,Tenant Provisioning,Onboard new SACCO wizard + default charts/settings,P1,10,Fullstack Dev,Tenant isolation,New SACCO can be provisioned in under 15 minutes,2026-03-31,2026-04-06,Planned,M6 Multi-SACCO hardening,Accelerates sales onboarding
Phase 3,7,Branding,White-label,Per-SACCO branding (logo/colors/legal docs),P2,8,Frontend Dev,Tenant model,Branding applies cleanly by tenant,2026-04-07,2026-04-13,Planned,M7 Sellable product pack,Supports resale strategy
Phase 3,7,Commercial,Packaging,Define pricing tiers + feature flags per plan,P1,8,Product + Dev,Tenant provisioning,Feature availability configurable by plan,2026-04-07,2026-04-13,Planned,M7 Sellable product pack,Revenue readiness
Phase 4,8,Reporting,Financial Reports,Finalize BS/IS/TB reconciliation packs and exports,P0,10,Finance QA + Dev,Core modules stable,Month-end pack ties out with zero unexplained variance,2026-04-14,2026-04-20,Planned,M8 Reporting confidence,Client trust and auditability
Phase 4,8,Reporting,Management Dashboards,Operational KPI dashboards for SACCO leadership,P2,8,Frontend Dev,Reporting data quality,KPI cards and trends validated,2026-04-14,2026-04-20,Planned,M8 Reporting confidence,Executive visibility
Phase 4,9,Integrations,Bank/MPESA Imports,Import and reconcile bank + mobile money statements,P1,12,Fullstack Dev,Tenant + permissions,Import parser + reconciliation workflow complete,2026-04-21,2026-04-27,Planned,M9 Integration layer,Reduces manual work
Phase 4,9,Integrations,Notifications,Email/SMS notifications for approvals and arrears,P2,8,Backend Dev,Approvals,Templates + send logs + retries,2026-04-21,2026-04-27,Planned,M9 Integration layer,Improves collections
Phase 5,10,Quality,UAT + Regression,Run UAT scripts across all core modules,P0,12,QA + Product,All prior milestones,UAT pass rate >= 95% with no open P0,2026-04-28,2026-05-04,Planned,M10 Release candidate,Go-live readiness
Phase 5,10,Operations,Go-live Playbook,"Deploy, backup/restore drill, incident playbook",P0,8,DevOps + Lead,UAT complete,Runbook approved and restore tested,2026-04-28,2026-05-04,Planned,M10 Release candidate,Operational confidence
Phase 5,10,Commercial,Sales Enablement,"Create demo script, one-pager, implementation checklist",P1,6,Product + Lead,Stable release candidate,Reusable sales/demo assets ready,2026-04-28,2026-05-04,Planned,M10 Release candidate,Supports client acquisition
